CountyName,LocationID,TotalPopulation,CHD,BINGE,MAMMOUSE,CASTHMA,COREW,PHLTH,LPA,CHECKUP,STROKE,CHOLSCREEN,HIGHCHOL,CANCER,CSMOKING,ACCESS2,SLEEP,GHLTH,OBESITY,ARTHRITIS,TEETHLOST,BPMED,COLON_SCREEN,DENTAL,KIDNEY,BPHIGH,MHLTH,DIABETES,COREM,CERVICAL,COPD,DEPRESSION
Alamance,37001020100,"3,908",7.4,13.9,79.4,10,40.2,12.3,26.3,79.7,3.8,86.7,34.8,6.5,20.4,19.1,31.7,17.1,38.1,27.8,17.7,75.9,70.5,59.2,3.5,38,15.2,12.3,49.4,83.8,8.1,23.9
Alamance,37001020200,"4,152",8.8,12.8,78.9,11.2,32.2,16.6,37.6,79,5.4,82.2,35,5.7,28.7,32.1,36.3,27,44.3,29.5,30.5,75.5,66,44.1,4.4,42.4,17.9,16.4,40,79.9,10.9,24.9
Alamance,37001020300,"8,063",8.6,12.4,78.5,10.3,35.6,14.3,33.9,80.1,5,85.4,35.1,6.6,22.5,30,34.1,22.7,40.8,29.3,24.3,77.1,69.6,51.1,4.3,41.5,15.9,15.2,44.3,82,9.3,22.7
Alamance,37001020400,"6,059",7.9,11.9,82.1,11.4,34.8,14.8,35.4,82.1,5.5,85.8,34,5.4,25.5,27.3,39,24.6,46.9,29.3,27.2,77.9,70.7,47.8,4.4,46,16.6,17.9,39.7,83.4,8.8,22.2
Alamance,37001020501,"3,575",6,16,78.8,9.5,44.4,9.9,21.9,78.2,3,85.2,32.3,6,17.1,17.4,29.9,13,33.4,23.8,14,74,73.3,65.3,2.8,32.6,15.1,9.7,52.1,83.1,6.3,24
Alamance,37001020502,"3,782",6.4,13.9,80.2,10.7,37.4,12.9,31.2,78.9,4,84.5,32,4.9,24.7,27.2,36.4,20.3,42.3,25,22.8,73.1,69.9,51.7,3.4,38.5,16.8,13.4,43.8,83.2,7.6,23.5
Alamance,37001020601,"3,234",7.5,13.3,79.2,7.8,52,8.4,16.9,82,3,92,39.5,9.8,10.8,10.1,24.8,9.6,29,29.4,7.5,80.4,78.8,76.8,3.2,37.3,10.5,10,60.3,88.4,5.7,20
Alamance,37001020602,"2,414",7.8,13.5,78.9,8.2,45.1,9.3,19.9,81.3,3.4,91,37.6,9.4,12.8,13,26.3,11.2,29.8,29.5,10.5,79.4,76.2,72.8,3.3,37.1,11.7,10,57.6,87.7,6.3,20.9
Alamance,37001020701,"4,519",8,13.3,78.3,8.8,43.9,10.4,23,80.9,3.7,88.9,36.8,8.5,15.5,15.7,28.8,13.5,32.3,29.5,13,78.8,75.5,67,3.5,38.3,13,11.3,54.2,84.5,7.2,21.7
Alamance,37001020702,"4,742",7.2,14.2,78.2,10.5,38.9,12.9,28.6,78.8,3.9,84.6,33.3,5.9,23.4,21.9,33.4,18.6,39.2,26.9,20.2,73.7,70,54.6,3.5,37.3,16.8,12.1,47.8,82.3,8.7,25.2
Alamance,37001020801,"1,450",8,14.1,76.2,9.5,44,11.8,26.2,79.3,3.8,87.1,36.6,7.6,19.7,20.9,30.5,16,34.9,28.9,16.5,76.9,73.5,61.4,3.5,37.8,14.9,11.8,52,82.7,8.3,23.9
Alamance,37001020802,"5,857",8.6,12.7,77.4,11.7,32.3,17,38.4,78.7,5.3,81.6,34.7,5.5,30.3,33,36.7,27.8,44,29.3,31.4,74.4,64.3,42.4,4.4,41.8,18.9,16,39.2,79.2,11.4,26.3
Alamance,37001020901,"3,583",6.3,15.1,78.5,8.9,44.2,10.1,23.5,78.3,3,87.2,33.5,6.5,17.6,20.1,30.6,13.5,35.2,25,13.3,74.2,74.6,64.3,2.9,34.2,14,10.2,53.4,85.6,6.3,22.5
Alamance,37001020902,"3,380",6.8,15.1,78.6,9,46.1,10.5,23,78.7,3.2,87.9,35.7,7,18.8,17.8,30.2,13.7,35.1,27,13.3,75.6,75.1,65,3,35.8,14,10.7,52.9,85.9,7.1,23.4
Alamance,37001021000,"3,720",9.3,12.2,79,11.8,32.3,17.7,38.1,80.3,5.8,81.8,35.7,5.8,30,29,37,28.4,45.9,31.5,31.3,76.7,65,43,4.8,44.7,18.5,17.5,40,79.5,12.2,25.8
Alamance,37001021101,"2,668",7.5,13.6,78.8,9.7,41.3,11.8,27,80.3,4,87.2,35.2,6.9,20.4,20.2,32.6,16.8,38.3,28.3,17.1,76.9,72.1,59.8,3.5,39.5,14.7,12.7,50.3,85.3,7.8,22.7
Alamance,37001021102,"3,318",8.2,14,78.1,9.8,40.8,12.7,27.2,79.5,4.2,86.3,36.5,7.2,21.3,20.1,31.5,17.7,37,29.6,18.2,77,72.8,58.5,3.7,39.3,15.2,12.7,49,82.6,8.9,24.2
Alamance,37001021201,"5,252",7.9,13.7,78.7,10.3,38.4,13.8,31.1,79.5,4.5,85.8,35.7,6.2,24.3,24.8,34.5,20.7,41.3,29.1,22.2,76.9,71.1,53.5,3.9,41.2,16.1,14.6,44.7,82.9,9.1,24
Alamance,37001021204,"4,280",6.6,15.2,79,9.3,42.6,10.7,23.7,78.7,3.3,87.3,34.7,6.6,19.3,18.4,31,14.3,35.7,26.5,14.7,75.1,73.2,63.9,3.1,35.9,14.4,10.8,51.5,85.6,7,23.4
Alamance,37001021205,"4,636",5.4,15.7,79.9,9.3,45.9,9.2,20.5,78.6,2.8,87.3,32.2,6.1,16.7,15.4,30.6,11.7,34.4,23.7,11.8,73.2,74.7,67.4,2.7,32.8,14.2,9.3,53.6,86.7,5.6,23
Alamance,37001021206,"4,320",4.7,16.7,80.2,9.1,47.3,8.6,19.3,77.6,2.4,87.4,30.6,5.2,16.4,15.4,30.8,11,34.9,21.2,11,70.6,74.6,67.9,2.4,30.8,14.1,8.7,53.1,87.2,4.9,22.8
Alamance,37001021207,"3,086",6.9,14.9,78.9,9.7,43.3,11.3,24,79,3.4,86.2,34.8,6.6,20.2,17.1,31,14.9,36.6,27.2,14.9,75.1,73.8,62.5,3.2,36.2,15.1,11.1,50.8,84.7,7.7,24.7
Alamance,37001021300,"6,057",6.9,14.1,80.2,9.6,43.1,11.1,25,80.6,3.8,88.7,35.8,6.6,19.8,17.9,33.1,15.5,38.4,27.8,15.5,77.4,74,62.9,3.3,40.1,14.1,12.9,50.2,86.1,7,22.1
Alamance,37001021400,"2,650",7.4,15.1,77.5,9,45,11,23.2,79,3.4,88.3,37.5,7.5,19.8,16.2,29.9,13.8,34.6,28.7,13.6,76.7,73.8,65.5,3.1,37.3,14.1,10.9,53,85.3,7.7,23.8
Alamance,37001021500,"4,681",6.8,15.9,77.7,9.1,46,10.6,22.6,78.4,3.2,88.1,36.1,6.9,19.7,16.2,30.4,13.4,34.9,27.2,13.6,75.7,73.5,65.7,3,36,14.3,10.6,52.3,85.7,7.2,23.9
Alamance,37001021600,"6,934",4.7,17.9,78.4,10.2,43,8.6,19.9,76.3,2.3,80.7,26.5,4.6,15.6,16.9,28.9,11.2,29.3,18.4,14.4,68,73.5,65.9,2.3,25.4,17.9,7,52.2,80.2,5.3,26.9
Alamance,37001021701,"3,237",7.6,12.8,79.4,7.5,47.8,7.9,17.1,82.3,3.1,92.7,38,10.5,9.6,10.1,24,9.1,27,29.3,7.6,80.5,78.2,77.9,3.2,36.7,10,9.2,61.1,89.7,5.3,19
Alamance,37001021702,"5,282",5.4,16.8,79.7,9.8,43.5,8.9,19.5,77.9,2.6,82.4,29,5.2,14.3,13.9,28.3,11.4,30.2,20.7,12.9,72.3,73.7,67,2.6,28.5,16.2,8.4,52.7,79.3,5.6,25.2
Alamance,37001021703,"4,866",5.3,15.8,79.8,8.6,47.8,8.2,18.5,78.2,2.5,86.7,32,6.3,14.2,14,28.3,10.1,30.9,22.5,9.9,73.3,76.4,70.4,2.5,30.7,13.3,8.3,56.2,85.3,5.1,22.3
Alamance,37001021801,"4,441",6.8,15.7,78.4,8.7,46.8,9.8,20.8,78.8,3.1,88.3,36.2,7.4,17.5,14.4,29,12,33.3,27.1,11.7,76.1,75.3,68.7,2.9,35.3,13.4,10,55,86.6,6.7,23.2
Alamance,37001021802,"3,553",6,17.3,77.9,9.1,44.7,10.3,22,76.5,2.8,86.4,33.8,6,21.1,16.9,30.7,12.8,34.8,24.7,13.7,71.9,72.2,64.5,2.6,32.6,15.2,9.2,53.3,85.7,6.8,25.1
Alamance,37001021803,"2,879",7.1,16,77.4,9.3,42.3,11.5,24.5,77.5,3.4,85.3,35.7,6.7,22.2,18,30.9,14.9,35.4,27.3,16.1,74.5,70.7,62.1,3,35.6,15.3,10.5,51.2,84.7,8,25
Alamance,37001021901,"4,535",6.4,16.1,77.6,9,46.4,10.2,21.8,77.9,3,87.3,35.4,6.8,19.2,16.1,29.8,12.7,33.9,26.2,13,74.5,73.5,66.6,2.8,34.3,14.3,9.8,53.7,86.1,6.8,24.1
Alamance,37001021902,"4,423",5.6,16.8,78.5,8.8,47.2,9.3,20.6,77.3,2.6,87.6,33.7,6.1,18,16.4,29.9,11.6,33.9,23.8,11.7,72.7,73.4,67.7,2.5,32.3,14,9.1,54.3,86.5,5.9,23.3
Alamance,37001022001,"3,319",6.3,16,77.9,9.1,46.5,10.3,21.8,77.8,3,86.6,35,6.5,18.9,16.9,29.7,13.1,34.1,25.6,13.3,74.2,73.7,65.7,2.8,34.1,14.3,9.9,53.9,85.6,6.8,24
Alamance,37001022002,"4,276",6.6,15.4,78.4,9.9,42.6,12.2,26,77.7,3.5,85.3,34.5,5.7,23.3,20,32.4,16.8,38.5,26.4,17.6,73.6,69.2,58.5,3.1,36,16,11.5,48.5,84.1,8.1,25.3
Alexander,37003040100,"3,476",7.2,16.4,75.7,9.4,39.9,11.8,24,76.4,3.4,85.5,35.6,6.7,23,19.2,32.7,15.2,34,26.9,16.3,74.8,71,61.4,3.1,33.7,15.3,10.6,48.2,83.6,8.3,24.6
Alexander,37003040200,"3,994",8.3,15.4,76,9.7,38,13.3,26.3,77.2,4,84.9,36.9,7,24.8,19.7,33.4,17.6,35.9,29.3,19.1,76.5,70.3,57.8,3.5,36.6,15.6,12.2,46.2,82.9,9.8,24.8
Alexander,37003040300,"3,202",7.5,15.9,76.1,9.3,40.9,11.7,23.4,77.4,3.5,86.1,36.1,7,21.7,17.5,32.4,14.9,34.2,27.6,15.2,76.1,72.3,62.5,3.2,34.7,14.8,11,48.5,83.9,8.3,23.9
Alexander,37003040400,"6,552",8.7,14.2,76.3,9.9,36.5,13.3,27.8,78.7,4.5,85.6,36.6,7.5,23.1,21,33.9,18.5,36.2,30.2,20.1,78.2,71.3,57.3,3.9,38.4,15.3,13.2,45.7,82.4,9.7,23.7
Alexander,37003040500,"6,982",6.9,16.1,77.2,9.5,38.7,11.7,24.6,76.5,3.4,84.9,34.1,6.3,22.6,20,33.2,15.4,34.9,25.9,16.9,74.4,71,60.2,3.1,33.2,15.4,10.7,47.4,83.2,8,24.2
Alexander,37003040600,"6,347",6,18,76.3,8.6,41.8,10,21.8,75.2,2.8,85.7,32.7,5.8,21.5,20,33.4,12.9,33.3,22.8,14.3,70.9,71.9,62.7,2.6,31.1,14.3,9.1,49.7,84.1,6.6,22.3
Alexander,37003040700,"6,645",7.2,15.5,77.3,9,43.6,10.6,21,78,3.2,88,36.4,7.4,18.7,15,30.9,13,32.4,27.3,12.5,76.7,74.3,66.9,3.1,33.8,13.8,10.4,51.5,85,7.5,23.2
Alleghany,37005950100,"4,079",9.4,14.4,75.4,9.7,39.1,14.1,27.4,78.3,4.5,86.7,39.2,7.9,23.5,20.4,32.1,19.1,35,31.7,19.1,78.6,70.3,59.2,4,39.2,15.1,13.5,42.8,82.5,10.8,24.7
Alleghany,37005950200,"3,870",10.5,13.4,74.6,10,35.9,15.6,31.2,79,5.2,85.1,39.5,8.2,24.5,23.2,32.8,21.8,36.3,33.6,22.6,79.9,68.5,55.4,4.5,41.2,15.6,14.9,40.3,80.6,12.1,24.7
